# Constructed from biom file
#OTU ID	79CMK8KO	97CHE6WT	27CMK6WT	23CMK6WT	41CMK8WT	105CHE6WT	63CMK8WT	89CHE6WT	55CMK8HET	67CMK8WT	115CHE6KO	11CMK6WT	84CHE6KO	77CMK8WT	83CHE6KO	73CMK8WT	8CMK6KO	66CMK8WT	6CMK6WT	52CMK8WT	29CMK6WT	93CHE6WT	74CMK8KO	81CHE6WT	92CHE6KO	99CHE6KO	60CMK8KO	114CHE6WT	103CHE6KO	33CMK6WT	4CMK6KO	24CMK6KO	44CMK8KO	64CMK8KO	21CMK6WT	86CHE6WT	88CHE6KO	13CMK6HET	47CMK8KO	40CMK6WT	57CMK8WT	76CMK8WT	90CHE6WT	104CHE6KO	59CMK8WT	111CHE6KO	51CMK8WT	75CMK8KO	35CMK6KO	112CHE6KO	9CMK6KO	65CMK8KO	78CMK8KO	100CHE6KO	1CMK6WT	16CMK6KO	61CMK8WT	95CHE6KO	72CMK8KO	28CMK6KO	110CHE6WT	7CMK6KO	43CMK8WT	38CMK6KO	53CMK8HET	107CHE6KO	20CMK6KO	39CMK6KO	48CMK8KO	87CHE6KO	22CMK6KO	36CMK6WT	69CMK8WT	91CHE6KO	37CMK6WT	2CMK6KO	80CMK8WT	19CMK6WT	15CMK6HET	49CMK8KO	45CMK8WT	3CMK6WT	42CMK8KO	12CMK6WT	96CHE6KO	54CMK8KO	106CHE6WT	30CMK6KO	32CMK6KO	5CMK6WT	62CMK8KO	94CHE6WT	71CMK8WT	10CMK6KO	56CMK8KO	50CMK8KO	116CHE6KO	101CHE6WT	58CMK8KO	46CMK8WT	82CHE6WT	68CMK8KO	18CMK6KO	98CHE6WT	108CHE6KO	109CHE6WT	34CMK6KO	85CHE6WT	14CMK6KO	102CHE6WT	113CHE6WT	26CMK6WT	25CMK6KO	17CMK6WT	70CMK8KO
86681c8e9c64b6683071cf185f9e3419	445.0	602.0	1106.0	1858.0	2287.0	319.0	311.0	773.0	955.0	1130.0	744.0	1348.0	695.0	1065.0	394.0	941.0	889.0	608.0	1025.0	1737.0	910.0	590.0	1078.0	872.0	1061.0	1160.0	1685.0	1187.0	580.0	1716.0	1994.0	1964.0	2044.0	860.0	1806.0	1114.0	852.0	663.0	410.0	103.0	667.0	1355.0	1449.0	958.0	1414.0	931.0	444.0	632.0	595.0	1245.0	852.0	1430.0	703.0	716.0	1928.0	1006.0	1022.0	506.0	1296.0	2261.0	967.0	1051.0	1592.0	302.0	1365.0	1209.0	1137.0	338.0	1393.0	1030.0	2158.0	1314.0	1064.0	943.0	691.0	2378.0	428.0	2066.0	692.0	1512.0	1334.0	2122.0	2676.0	1159.0	678.0	1229.0	594.0	1899.0	540.0	1017.0	1212.0	607.0	889.0	1175.0	1117.0	2034.0	715.0	699.0	1151.0	951.0	766.0	811.0	1160.0	1049.0	896.0	732.0	625.0	1072.0	708.0	408.0	684.0	1041.0	1866.0	876.0	1566.0
b7b02ffee9c9862f822c7fa87f055090	394.0	14.0	465.0	507.0	166.0	145.0	0.0	83.0	138.0	194.0	91.0	184.0	158.0	19.0	171.0	112.0	28.0	176.0	125.0	57.0	235.0	221.0	377.0	47.0	74.0	92.0	144.0	113.0	91.0	42.0	116.0	499.0	234.0	142.0	117.0	191.0	85.0	187.0	77.0	1229.0	33.0	223.0	125.0	223.0	207.0	273.0	2.0	13.0	19.0	149.0	83.0	508.0	247.0	51.0	311.0	78.0	16.0	39.0	210.0	312.0	74.0	151.0	365.0	124.0	195.0	17.0	111.0	156.0	219.0	376.0	410.0	250.0	292.0	69.0	196.0	21.0	654.0	70.0	75.0	135.0	183.0	107.0	322.0	83.0	28.0	97.0	259.0	520.0	49.0	213.0	190.0	59.0	109.0	26.0	44.0	2.0	80.0	98.0	202.0	106.0	151.0	49.0	111.0	116.0	117.0	129.0	222.0	140.0	142.0	96.0	244.0	288.0	624.0	0.0	161.0
663baa27cddeac43b08f428e96650bf5	361.0	91.0	840.0	873.0	776.0	98.0	137.0	35.0	245.0	697.0	61.0	447.0	27.0	422.0	37.0	367.0	456.0	338.0	416.0	744.0	704.0	97.0	416.0	28.0	42.0	113.0	490.0	127.0	35.0	411.0	379.0	819.0	862.0	358.0	432.0	88.0	73.0	372.0	110.0	1011.0	187.0	573.0	118.0	75.0	121.0	170.0	502.0	231.0	319.0	126.0	223.0	612.0	606.0	112.0	446.0	296.0	150.0	92.0	689.0	610.0	82.0	275.0	535.0	293.0	365.0	178.0	283.0	401.0	416.0	75.0	536.0	553.0	517.0	64.0	653.0	154.0	787.0	541.0	135.0	340.0	588.0	446.0	352.0	598.0	76.0	615.0	229.0	457.0	495.0	427.0	375.0	63.0	396.0	295.0	374.0	147.0	64.0	29.0	411.0	229.0	33.0	508.0	344.0	114.0	141.0	59.0	338.0	88.0	354.0	45.0	74.0	372.0	611.0	407.0	485.0
abd40160e03332710641ee74b1b42816	279.0	0.0	400.0	95.0	301.0	0.0	104.0	0.0	155.0	364.0	0.0	61.0	0.0	153.0	0.0	179.0	218.0	226.0	231.0	203.0	467.0	0.0	356.0	0.0	0.0	0.0	124.0	0.0	0.0	245.0	128.0	292.0	188.0	238.0	67.0	0.0	0.0	78.0	126.0	313.0	12.0	291.0	0.0	0.0	77.0	0.0	153.0	159.0	292.0	0.0	137.0	418.0	469.0	0.0	200.0	167.0	76.0	0.0	313.0	351.0	0.0	155.0	308.0	256.0	147.0	0.0	144.0	74.0	332.0	0.0	301.0	119.0	279.0	0.0	185.0	58.0	432.0	49.0	170.0	82.0	278.0	213.0	338.0	125.0	0.0	360.0	0.0	315.0	283.0	298.0	191.0	0.0	221.0	139.0	256.0	69.0	0.0	0.0	190.0	194.0	0.0	100.0	233.0	0.0	0.0	0.0	285.0	0.0	243.0	0.0	0.0	90.0	494.0	27.0	375.0
bac85f511e578b92b4a16264719bdb2d	261.0	68.0	945.0	456.0	395.0	15.0	357.0	95.0	191.0	611.0	80.0	405.0	122.0	218.0	122.0	404.0	415.0	364.0	239.0	303.0	396.0	82.0	342.0	89.0	130.0	138.0	491.0	146.0	131.0	372.0	249.0	426.0	670.0	268.0	459.0	35.0	9.0	224.0	75.0	986.0	137.0	410.0	139.0	90.0	851.0	2.0	335.0	118.0	257.0	0.0	269.0	505.0	360.0	56.0	328.0	277.0	555.0	118.0	477.0	830.0	32.0	212.0	493.0	311.0	211.0	111.0	440.0	147.0	93.0	35.0	352.0	294.0	346.0	118.0	335.0	88.0	465.0	561.0	299.0	181.0	375.0	465.0	196.0	356.0	80.0	524.0	70.0	462.0	455.0	441.0	217.0	46.0	53.0	236.0	371.0	186.0	104.0	4.0	509.0	356.0	37.0	163.0	459.0	107.0	103.0	48.0	415.0	22.0	503.0	63.0	106.0	511.0	1257.0	154.0	245.0
2a45f0b7f68a35504402988bcb8eb7fe	232.0	0.0	112.0	37.0	177.0	0.0	2.0	0.0	8.0	138.0	0.0	187.0	0.0	96.0	0.0	286.0	9.0	73.0	17.0	91.0	119.0	0.0	61.0	0.0	0.0	0.0	179.0	0.0	0.0	224.0	3.0	275.0	243.0	161.0	15.0	0.0	0.0	26.0	35.0	180.0	19.0	631.0	0.0	0.0	113.0	0.0	158.0	69.0	229.0	0.0	74.0	117.0	328.0	0.0	14.0	53.0	35.0	0.0	586.0	365.0	0.0	44.0	80.0	138.0	56.0	0.0	50.0	148.0	147.0	0.0	170.0	189.0	111.0	0.0	128.0	0.0	113.0	147.0	120.0	226.0	471.0	18.0	123.0	12.0	0.0	274.0	0.0	32.0	284.0	157.0	107.0	0.0	372.0	373.0	67.0	23.0	0.0	0.0	262.0	36.0	0.0	41.0	85.0	0.0	0.0	0.0	61.0	0.0	40.0	0.0	0.0	172.0	57.0	0.0	205.0
8db33d54e5184b0f448ae140f793368a	191.0	0.0	143.0	19.0	200.0	0.0	35.0	0.0	55.0	237.0	0.0	47.0	102.0	84.0	151.0	10.0	57.0	283.0	3.0	127.0	125.0	0.0	8.0	64.0	0.0	0.0	11.0	0.0	0.0	16.0	21.0	251.0	24.0	118.0	11.0	0.0	0.0	60.0	18.0	630.0	2.0	140.0	0.0	0.0	0.0	0.0	19.0	32.0	182.0	0.0	36.0	136.0	239.0	0.0	48.0	148.0	0.0	0.0	13.0	61.0	0.0	23.0	37.0	89.0	85.0	0.0	65.0	74.0	86.0	0.0	78.0	111.0	76.0	0.0	97.0	13.0	357.0	3.0	15.0	58.0	113.0	200.0	54.0	31.0	0.0	67.0	0.0	0.0	76.0	31.0	84.0	0.0	95.0	48.0	100.0	24.0	0.0	0.0	116.0	33.0	48.0	106.0	50.0	0.0	0.0	0.0	72.0	0.0	68.0	0.0	0.0	136.0	167.0	3.0	35.0
40c2346925c479d2f90d76aea73b0975	183.0	10.0	165.0	23.0	174.0	10.0	76.0	27.0	176.0	175.0	2.0	19.0	28.0	135.0	23.0	99.0	26.0	118.0	36.0	155.0	172.0	24.0	106.0	31.0	21.0	23.0	113.0	20.0	0.0	144.0	202.0	353.0	176.0	184.0	36.0	5.0	7.0	156.0	34.0	332.0	5.0	224.0	25.0	7.0	122.0	16.0	50.0	77.0	33.0	11.0	141.0	219.0	160.0	3.0	76.0	206.0	2.0	17.0	46.0	324.0	5.0	36.0	68.0	56.0	276.0	5.0	67.0	95.0	60.0	6.0	351.0	262.0	113.0	14.0	112.0	67.0	221.0	37.0	92.0	188.0	77.0	180.0	325.0	71.0	9.0	17.0	5.0	8.0	10.0	91.0	132.0	2.0	126.0	151.0	187.0	262.0	1.0	19.0	133.0	127.0	23.0	115.0	108.0	22.0	12.0	0.0	9.0	2.0	136.0	0.0	8.0	154.0	320.0	125.0	106.0
cebb9cfc1d8430f13650adacf98b0a61	172.0	0.0	71.0	108.0	166.0	0.0	13.0	0.0	67.0	204.0	0.0	87.0	0.0	73.0	0.0	26.0	179.0	149.0	23.0	69.0	134.0	0.0	50.0	0.0	0.0	0.0	255.0	0.0	0.0	66.0	6.0	135.0	126.0	68.0	81.0	0.0	0.0	80.0	73.0	107.0	21.0	141.0	0.0	0.0	60.0	0.0	50.0	50.0	110.0	0.0	47.0	163.0	340.0	0.0	28.0	158.0	46.0	0.0	109.0	184.0	0.0	62.0	136.0	57.0	43.0	0.0	168.0	67.0	168.0	0.0	237.0	31.0	46.0	0.0	22.0	185.0	151.0	134.0	107.0	39.0	123.0	31.0	99.0	53.0	0.0	191.0	0.0	20.0	212.0	120.0	113.0	0.0	72.0	62.0	62.0	110.0	0.0	0.0	135.0	139.0	0.0	127.0	150.0	0.0	0.0	0.0	134.0	0.0	204.0	0.0	0.0	70.0	158.0	38.0	125.0
d307aef8086bbdb1c3e4f3d5511412dc	166.0	35.0	180.0	14.0	188.0	22.0	64.0	114.0	209.0	228.0	12.0	35.0	157.0	92.0	99.0	115.0	25.0	170.0	48.0	186.0	207.0	111.0	142.0	155.0	62.0	67.0	138.0	64.0	26.0	191.0	219.0	325.0	188.0	161.0	42.0	47.0	42.0	146.0	27.0	304.0	0.0	180.0	189.0	49.0	111.0	55.0	31.0	87.0	26.0	53.0	157.0	251.0	188.0	11.0	49.0	191.0	11.0	61.0	45.0	406.0	9.0	18.0	91.0	53.0	325.0	34.0	92.0	70.0	80.0	38.0	308.0	278.0	166.0	107.0	123.0	117.0	251.0	58.0	104.0	166.0	94.0	170.0	393.0	56.0	99.0	27.0	29.0	11.0	9.0	103.0	195.0	51.0	119.0	221.0	193.0	287.0	32.0	69.0	121.0	144.0	107.0	99.0	102.0	122.0	18.0	11.0	2.0	28.0	125.0	32.0	51.0	178.0	338.0	107.0	113.0
