#SampleID	Facility
100CHE6KO	PaloAlto
101CHE6WT	PaloAlto
102CHE6WT	PaloAlto
103CHE6KO	PaloAlto
104CHE6KO	PaloAlto
105CHE6WT	PaloAlto
106CHE6WT	PaloAlto
107CHE6KO	PaloAlto
108CHE6KO	PaloAlto
109CHE6WT	PaloAlto
10CMK6KO	Dalhousie
110CHE6WT	PaloAlto
111CHE6KO	PaloAlto
112CHE6KO	PaloAlto
113CHE6WT	PaloAlto
114CHE6WT	PaloAlto
115CHE6KO	PaloAlto
116CHE6KO	PaloAlto
11CMK6WT	Dalhousie
12CMK6WT	Dalhousie
13CMK6HET	Dalhousie
14CMK6KO	Dalhousie
15CMK6HET	Dalhousie
16CMK6KO	Dalhousie
17CMK6WT	Dalhousie
18CMK6KO	Dalhousie
19CMK6WT	Dalhousie
1CMK6WT	Dalhousie
20CMK6KO	Dalhousie
21CMK6WT	Dalhousie
22CMK6KO	Dalhousie
23CMK6WT	Dalhousie
24CMK6KO	Dalhousie
25CMK6KO	Dalhousie
26CMK6WT	Dalhousie
27CMK6WT	Dalhousie
28CMK6KO	Dalhousie
29CMK6WT	Dalhousie
2CMK6KO	Dalhousie
30CMK6KO	Dalhousie
31CMK6WT	Dalhousie
32CMK6KO	Dalhousie
33CMK6WT	Dalhousie
34CMK6KO	Dalhousie
35CMK6KO	Dalhousie
36CMK6WT	Dalhousie
37CMK6WT	Dalhousie
38CMK6KO	Dalhousie
39CMK6KO	Dalhousie
3CMK6WT	Dalhousie
40CMK6WT	Dalhousie
41CMK8WT	Dalhousie
42CMK8KO	Dalhousie
43CMK8WT	Dalhousie
44CMK8KO	Dalhousie
45CMK8WT	Dalhousie
46CMK8WT	Dalhousie
47CMK8KO	Dalhousie
48CMK8KO	Dalhousie
49CMK8KO	Dalhousie
4CMK6KO	Dalhousie
50CMK8KO	Dalhousie
51CMK8WT	Dalhousie
52CMK8WT	Dalhousie
53CMK8HET	Dalhousie
54CMK8KO	Dalhousie
55CMK8HET	Dalhousie
56CMK8KO	Dalhousie
57CMK8WT	Dalhousie
58CMK8KO	Dalhousie
59CMK8WT	Dalhousie
5CMK6WT	Dalhousie
60CMK8KO	Dalhousie
61CMK8WT	Dalhousie
62CMK8KO	Dalhousie
63CMK8WT	Dalhousie
64CMK8KO	Dalhousie
65CMK8KO	Dalhousie
66CMK8WT	Dalhousie
67CMK8WT	Dalhousie
68CMK8KO	Dalhousie
69CMK8WT	Dalhousie
6CMK6WT	Dalhousie
70CMK8KO	Dalhousie
71CMK8WT	Dalhousie
72CMK8KO	Dalhousie
73CMK8WT	Dalhousie
74CMK8KO	Dalhousie
75CMK8KO	Dalhousie
76CMK8WT	Dalhousie
77CMK8WT	Dalhousie
78CMK8KO	Dalhousie
79CMK8KO	Dalhousie
7CMK6KO	Dalhousie
80CMK8WT	Dalhousie
81CHE6WT	PaloAlto
82CHE6WT	PaloAlto
83CHE6KO	PaloAlto
84CHE6KO	PaloAlto
85CHE6WT	PaloAlto
86CHE6WT	PaloAlto
87CHE6KO	PaloAlto
88CHE6KO	PaloAlto
89CHE6WT	PaloAlto
8CMK6KO	Dalhousie
90CHE6WT	PaloAlto
91CHE6KO	PaloAlto
92CHE6KO	PaloAlto
93CHE6WT	PaloAlto
94CHE6WT	PaloAlto
95CHE6KO	PaloAlto
96CHE6KO	PaloAlto
97CHE6WT	PaloAlto
98CHE6WT	PaloAlto
99CHE6KO	PaloAlto
9CMK6KO	Dalhousie
